product_code;active;name;price;vat;unit;category;producer;other_price;pkwiu;weight;priority;short_description;description;mainpage;mainpage_priority;stock;stock_warnlevel;availability;delivery;views;rank;rank_votes;"images 1";"images 2";"images 3";"images 4";"images 5";"images 6";"images 7";"images 8"
2A92-14098;1;"KarateGi HIROTA PINAC";859.00;23%;szt.;"KARATE > KARATE GI";HIROTA;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi HIROTA PINAC</strong></p>  <p style=""text-align: center;""><strong> </strong></p>";"<p style=""text-align: justify;""><strong>HIROTA PINAC </strong>Lekkie Karategi do Kumite. Jak wszystkie produkty od tego producenta, karategi zostało wykonane ręcznie z jak największą starannością i dbałością o każdy szczegół. Użyta przy produkcji tego modelu bawełna, produkowana jest i dostarczana wyłącznie dla HIROTY. Materiał KarateGi bardzo szybko wchłania pot i szybko wysycha, dzięki czemu idealnie sprawdza się podczas intensywnych treningów, bądź zawodów. KarateGi HIROTA PINAC zostało zaprojektowane oraz wykonane przez pasjonatów Karate. Strój nie krępuje ruchów, posiada wzmocnione szwy oraz kołnierz. HIROTA PINAC wygląda bardzo elegancko i przede wszystkim sprawdza się jako strój na wiele lat treningu. HIROTA personalizuje stroje na zamówienie. W zależności od Państwa preferencji możliwe jest wykonanie dodatkowego haftu na stroju lub zamówienia metki swojej organizacji.</p>  <p style=""text-align: center;""><em>KarateGi marki HIROTA są dostępne tylko na zamówienie. Cały proces może potrwać do 4 tygodni</em>. </p>  <ul>  <li style=""text-align: justify;"">Ręcznie wykonane,</li>  <li style=""text-align: justify;"">Karategi zaprojektowane do Kumite,</li>  <li style=""text-align: justify;"">Bawełna 10OZ/283G,</li>  <li style=""text-align: justify;"">Specjalnie produkowana bawełna,</li>  <li style=""text-align: justify;"">Profesjonalne Karategi.</li>  </ul>  <p> </p>  <p> </p>";0;1;0;0;"dostępny na zamówienie";"48 godzin";1163;4;2;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/dae1b65f6392f9d607e507710f7c7713.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/0a65bae745697fb73cbf2ceff8f67a6f.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/8a757cf25fb4ff370101922712007511.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/f202eda00c0b192840cbc2f8a1ca430b.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/3956577b853d0230a656b3a4c69de97f.jpg;;;
55A3-3501A;1;"KarateGi HIROTA MH10";789.00;23%;szt.;"KARATE > KARATE GI";HIROTA;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi  HIROTA MH10</strong></p>";"<p style=""font-size: 16px; font-family: Verdana, Geneva, sans-serif; text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;""><strong>KarateGi HIROTA MH10</strong>. Jest to ciężki model KarateGi, wykonany i zaprojektowany z myślą o codziennym treningu oraz Kata. Ręcznie wyprodukowany strój do Karate wprost z Japonii. Producent zadbał tu o każdy szczegół, tworząc tę KarateGi z najwyższą starannością. Tak samo jak w przypadku modelu PINAC, użyta do produkcji tego modelu bawełna produkowana jest w ściśle określony przez HIROTĘ sposób. KarateGi zaprojektowane oraz wykonane przez pasjonatów Karate. Model <strong>HIROTA MH10</strong> jest wysoce ceniony wśród instruktorów oraz zawodników specjalizujących się w Kata. HIROTA personalizuje stroje na zamówienie. W zależności od Państwa preferencji możliwe jest wykonanie dodatkowego haftu na stroju lub zamówienia metki swojej organizacji.</span></p>  <p style=""text-align: center;""><span style=""font-size: 10pt; font-family: verdana, geneva;""><em>KarateGi marki HIROTA są dostępne tylko na zamówienie. Cały proces może potrwać do 4 tygodni.</em></span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Ręcznie wyprodukowany strój do Karate Tradycyjnego,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Bawełna 15OZ/425G,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Karategi dedykowane do Kata,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Solidnie wykonane.</span></li>  </ul>";0;0;0;0;"dostępny na zamówienie";"48 godzin";1265;5;1;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/f21f159892c9ceb1e3b46f4127d438cf.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/4899b0d17047a7413a405d4d9ad17aa5.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/068891e1540cf4cc5a8248e4e57af243.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/3885ca878c4d73cd6754fab50f4d3782.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/f1124b8c452237eae914bc97c3586456.jpg;;;
C546-217F9;1;"KarateGi HIROTA MH11";739.00;23%;szt.;"KARATE > KARATE GI";HIROTA;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi HIROTA MH11</strong></p>";"<p style=""font-size: 16px; font-family: Verdana, Geneva, sans-serif; text-align: justify;""><span style=""font-size: 10pt;""><span style=""font-family: verdana, geneva;""><strong>KarateGi HIROTA MH11</strong>, jest to średni pod względem ciężkości model. </span>Wykonane ręcznie KarateGi, dedykowane do codziennego treningu, wyprodukowane z dbałością o każdy detal. Model ten został również stworzony w oparciu o specjalnie produkowaną dla HIROTY bawełnę. Strój ma luźniejszy krój, przez co nie ogranicza ruchów ćwiczącego. Posiada wzmocnione szwy oraz kołnierz. <strong>HIROTA MH11</strong> zostało stworzone w oparciu o doświadczenie oraz sugestie japońskich mistrzów oraz instruktorów Karate. Doskonale sprawdza się w każdej sytuacji. HIROTA personalizuje swoje KarateGi na zamówienie. W zależności od Państwa preferencji możliwe jest wykonanie dodatkowego haftu na stroju lub zamówienia metki swojej organizacji.</span></p>  <p style=""text-align: center;""><span style=""font-size: 10pt;""><em>KarateGi marki HIROTA są dostępne tylko na zamówienie. Cały proces może potrwać do 4 tygodni.</em></span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Bawełna 13OZ/368,5G</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Idealne KarateGi do codziennego treningu,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Tradycyjny krój,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Specjalnie wyselekcjonowana bawełna,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Profesjonalny strój do Karate.</span></li>  </ul>  <p style=""font-size: 16px; font-family: Verdana, Geneva, sans-serif;""> </p>";0;0;0;0;"dostępny na zamówienie";"48 godzin";1086;3.75;4;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/0c34248776f8be583e7bcae9d560e5ab.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/1545f8917db2c62bef0a27c91dbb7e70.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/4be00e6d08368ec6f9a74a57a9882172.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/cff1e45e4e0af43a84f22122148c6cfb.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/b984a8598ed0e926a5fd2897141e4e73.jpg;;;
049B-8304B;1;"KarateGi DAX BEGINNER";73.00;23%;szt.;"KARATE > KARATE GI";DAX;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi DAX BEGINNER</strong></p>";"<p style=""text-align: justify;""><span style=""font-size: 10pt;""><span style=""font-family: verdana, geneva;""><strong>DAX BEGINNER to lekkie kimono dla  dzieci</strong>, bądź początkujących dorosłych. DAX bardzo dobrze i profesjonalnie podszedł do kwestii wykonania tego stroju. Pomimo swojej niskiej ceny, KarateGi stworzone zostało bardzo starannie. Kimono jest bardzo wygodne i lekkie, wykonane całkowicie z bawełny o gramaturze 6OZ. Spodnie posiadają elastyczny wszywany pas i dodatkowy sznur do ściągania. <strong>KarateGi DAX BEGINNER</strong> dostarczane jest z białym pasem w zestawie i oferowane w kolorach białym lub czarnym</span>.</span></p>  <ul>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>Idealne KarateGi do codziennego treningu</strong>,</span></li>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;"">100% Bawełna,</span></li>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;"">Gramatura 6OZ</span></li>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;"">Elastyczny ściągacz,</span></li>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dobra jakość wykończenia,</span></li>  <li><span style=""font-family: verdana, geneva; font-size: 10pt;"">Kimono dostarczane z białym pasem w komplecie.</span></li>  </ul>";1;0;65;1;"brak informacji";"48 godzin";1849;3.16667;6;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/b34eaa01c9481829f2d88c1a4539815e.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/049419eda5ee4650c12f30e52d3708c6.jpg;;;;;;
6CD3-9553E;1;"KarateGi DAX OKINAWA";129.00;23%;szt.;"KARATE > KARATE GI";DAX;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi DAX OKINAWA</strong></p>";"<p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>KarateGi DAX OKINAWA</strong> jest to również Kimono dla dzieci lub początkujących dorosłych, jednak dedykowane osobom, które potrzebują bardziej wytrzymałego stroju. Kimono DAX OKINAWA  zostało wykonane  z dobrej jakości bawełny o gramaturze 8OZ, jest lekkie a zastosowany materiał bardzo dobrze wchłania pot i szybko schnie. Spodnie posiadają wszyty gumowy ściągacz. KarateGi DAX OKINAWA dostarczane jest z białym pasem w zestawie i oferowane w kolorach białym lub czarnym.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>Kimono idealne do codziennego treningu karate</strong>,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">100% Bawełna,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Gramatura 8OZ ,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Elastyczny ściągacz,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dobra jakość wykończenia,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dostarczane z białym pasem w komplecie,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dostępne w kolorach białym, lub czarnym na zamówienie.</span></li>  </ul>";1;0;104;1;"brak informacji";"48 godzin";1691;4.5;6;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/e0d859b7fcca7c0c83c097b7fb8a5347.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/86c11a774c8cef6bb5bceef8bd346dca.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/9b71ffbdeab876f04489ec342c7cf8a7.jpg;;;;;
E70B-6963F;1;"KarateGi TOKAIDO SHOSHIN";76.00;23%;szt.;"KARATE > KARATE GI";TOKAIDO;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi TOKAIDO SHOSHIN</strong></p>";"<p style=""text-align: justify;""><span style=""font-size: 10pt;""><strong>KarateGi TOKAIDO SHOSHIN.</strong> Shoshinsha 初心者 w języku Japońskim znaczy początkujący. KarateGi stworzone z kombinacji bawełny (35%) oraz poliestru(65%) dzięki czemu producent praktycznie wyeliminował możliwość kurczenia się materiału. Jest to idealne <strong>kimono dla dzieci</strong>, bądź początkujących dorosłych. Spodnie kimona posiadają elastyczny wszywany ściągacz oraz sznur do ściągania w pasie. Materiał jest lekki, o gramaturze 8 OZ, dzięki czemu dobrze oddycha i szybko schnie. Kimono TOKAIDO SHOSHIN dostarczane jest z białym pasem w zestawie. </span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Gramatura 8OZ - Połączenie bawełny i poliestru (35%/65%),</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Wytrzymały i wygodny materiał,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Tradycyjny krój, KarateGi bez dodatkowego logo,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Spodnie z elastycznym ściągaczem,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Kimono TOKAIDO dostarczane jest z białym pasem w komplecie,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Dostępne w rozmiarach 110cm - 190cm.</span></li>  </ul>  <p style=""text-align: justify;""><span style=""font-size: 10pt;""> </span></p>";0;0;31;1;"brak informacji";"48 godzin";1543;4.24999;16;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/0892b4c1fa8051bd8fe01c313b2f96e0.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/f024daa39b84040ecf17c9c3829d1c63.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/4bb28b47d73bc2e2a0c23944d63fcf97.jpg;;;;;
E93A-6079E;1;"TOKAIDO Napięstniki WKF";89.00;23%;szt.;NAPIĘSTNIKI;TOKAIDO;0.00;;1;1;"<p style=""text-align: center;""><strong>TOKAIDO Napięstniki WKF</strong></p>";"<p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Lekkie <strong>napięstniki do Karate od TOKAIDO</strong>, zaprojektowane specjalnie z myślą o kumite i profesjonalnych zawodach. Rękawice zostały wyposażone w poliuretanowy wkład, który bardzo dobrze amortyzuje i jest jednocześnie bardzo lekki. Całość została pokryta sztuczną skórą, która jest bardzo wytrzymała i dzięki swoim właściwościom nie nasiąka potem oraz chroni dłonie ćwiczącego. Dzięki profesjonalnemu wykonaniu, oraz użytym materiałom, napięstniki TOKAIDO mogą służyć bardzo długo, nawet, pomimo częstego i intensywnego stosowania. </span><br /><span style=""font-family: verdana, geneva; font-size: 10pt;"">TOKAIDO dostarcza napięstniki w rozmiarach S/M/L/XL oraz w kolorach niebieskim oraz czerwonym. Dodatkowo posiadają one aprobatę WKF, co świadczy o ich jakości.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Certyfikowane przez WKF,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Wkład wykonany z poliuretanu o dużej gęstości,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Pokryte wytrzymałą sztuczną skórą,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Solidnie wykonane,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Szerokie elastyczne zapięcie na nadgarstek,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Nie wchłaniają wody i potu,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Łatwe w czyszczeniu,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dostępne w kolorach: czerwonym i niebieskim.</span></li>  </ul>";1;0;69;1;"brak informacji";"48 godzin";1710;5;2;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/67d4e59fa1b351f3c128a79b54e720ee.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/d7deba1e41b40e491c50ebde3e77066e.jpg;;;;;;
F7E6-37054;1;"TOKAIDO Ochraniacze stóp WKF";89.00;23%;szt.;OCHRANIACZE;TOKAIDO;0.00;;1;1;"<p><strong>TOKAIDO Ochraniacze stóp WKF.</strong></p>";"<p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>Ochraniacz na stopy TOKAIDO</strong>. Jest to produkt wysokiej jakości z aprobatą WKF. Ochraniacze zostały wykonane z poliuretanowego wkładu o dużej plastyczności. Dopasowują się do kształtu stopy, jednocześnie zapewniając duża amortyzację. Zewnętrzna część ochraniacza TOKAIDO została pokryta sztuczną skórą, dzięki czemu nie wchłaniają wody i potu. Ochraniacze zostały zaprojektowane specjalnie dla osób biorących udział w zawodach kumite.</span></p>  <p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;""> Dzięki profesjonalnemu wykonaniu, oraz zastosowanym wysokiej jakości materiałom, ochraniacze mogą służyć ćwiczącemu bardzo długo, jednocześnie zapewniając rzetelną ochronę stóp.  Dzięki elastycznemu mocowaniu na kostkę, doskonale utrzymują się na swojej pozycji. Można je łączyć w zestaw z ochraniaczem goleni.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Certyfikowane przez WKF,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Anatomicznie dopasowane,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Łatwe w czyszczeniu i pielęgnacji,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Elastyczne zapięcie na kostkę,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Można połączyć z ochraniaczem goleni TOKAIDO,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Dostępne w kolorach: czerwonym oraz niebieskim.</span></li>  </ul>  <p style=""text-align: justify;""><span style=""font-size: 10pt;""> </span></p>";1;0;1096;1;"brak informacji";"48 godzin";888;5;1;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/07ec13c4598ed2eb639adf65aeb59cd1.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/26195e79434398c277290a80f2da5ab1.jpg;;;;;;
640C-75839;1;"KarateGi TOKAIDO NISSAKA";139.00;23%;szt.;"KARATE > KARATE GI";TOKAIDO;0.00;;1;1;"<p style=""text-align: center;""><strong>Karate Gi TOKAIDO NISSAKA</strong></p>  <p><strong> </strong></p>";"<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;""><strong>Kimono TOKAIDO NISSAKA.</strong> Jest to model przeznaczony dla każdego trenującego, który oczekuje wytrzymałego i profesjonalnego KarateGi. Kimono wykonane według tradycyjnego kroju, nie posiada dodatkowego logo. Spodnie posiadają elastyczny ściągacz oraz dodatkowy sznur do wiązania w pasie. Strój ten został stworzony z mieszkanki bawełny (60%) oraz wiskozy (40%) o bardzo gęstym splocie i gramaturze 10OZ/270G.</span></p>  <p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;""><strong>KarateGi TOKAIDO NISSAKA</strong> to strój do karate, który idealnie sprawdza się w każdych warunkach i nadaje się do intensywnego treningu. Karategi wykończone bardzo solidnie z dbałością o każdy szczegół.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Tradycyjny wygląd, bez dodatkowego logo,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Wygodne oraz wytrzymałe kimono do Karate,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Spodnie posiadają elastyczny ściągacz oraz dodatkowy sznur,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Wykonane z mieszanki bawełny oraz wiskozy (60%/40) o gramaturze 10OZ/270G,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Dostarczane wraz z  białym pasem w komplecie,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Dostępne w rozmiarach od 130cm do 190cm,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt; font-family: verdana, geneva;"">Istnieje możliwość zamówienia kimona w rozmiarach 200cm i 210cm.</span></li>  </ul>";1;0;999;1;"brak informacji";"48 godzin";2240;4.33556;9;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/8afe1e43b7d389be6b8369c7b112d18e.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/035a578c651e1da40e66edef8f2a6b84.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/d72ded58da8b97ce92e8d5ce16aac596.jpg;;;;;
ATKMJ;1;"KarateGi TOKAIDO KATA MASTER Tradycyjna";348.00;23%;szt.;"KARATE > KARATE GI";TOKAIDO;0.00;;1;1;"<p style=""text-align: center;""><strong>KarateGi TOKAIDO KATA MASTER Tradycyjna</strong></p>";"<p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>KarateGi TOKAIDO KATA MASTER</strong>. Jest to tradycyjna (Japońska) wersja KarateGi, bez dodatkowego logo. Model ten został zaprojektowany z myślą o osobach specjalizujących się w <strong>Kata</strong>. KarateGi posiada unikalny krój - skrócone rękawy oraz nogawki. KarateGi TOKAIDO KATA MASTER to model posiadający aprobatę World Karate Federation (WKF), co świadczy o wysokiej jakości, oraz profesjonalnym zastosowaniu tego produktu. </span><br /><span style=""font-family: verdana, geneva; font-size: 10pt;"">KarateGi wykonane z gęsto plecionej bawełny (100%) o gramaturze 12OZ. Jest ciężkie i wytrzymałe. Profesjonalny strój, który będzie długo służył ćwiczącemu.</span><br /><span style=""font-family: verdana, geneva; font-size: 10pt;""><strong>TOKAIDO KATA MASTER</strong> to produkt klasy premium, uznany i stosowany na całym świecie. TOKAIDO dostarcza swoje produkty od 1956 roku, ciągle dbając o najwyższą jakość oraz standard wykonania.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Tradycyjny wygląd, bez dodatkowego logo,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Produkt klasy premium,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Unikalny krój, wykonany z myślą o osobach specjalizujących się w Kata,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">KarateGi wykonane z gęstej bawełny (100%) o gramaturze 12OZ,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Wielokrotne przeszycia oraz wzmocnienia szwów,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Karategi z certyfikacją WKF,</span></li>  <li style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Spodnie posiadają tradycyjne wiązanie.</span></li>  </ul>  <p> </p>  <p> </p>  <p><iframe style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/HLbmRu1QN04?rel=0&amp;showinfo=0"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></p>";0;0;82;1;"brak informacji";"48 godzin";2739;4.04727;22;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/09580ef7558cbb1fa50d3137e7c4484a.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/0a78fa24c0c708ffb35c484642b547fb.jpg;;;;;;
4D70-66289;1;"DRAGON Napięstniki";40.00;23%;szt.;NAPIĘSTNIKI;DRAGON;0.00;;1;2;"<p style=""text-align: center;""><strong>DRAGON Napięstniki</strong></p>";"<p style=""text-align: justify;""><span style=""font-family: verdana, geneva; font-size: 10pt;"">Lekkie <strong>napięstniki do Karate</strong>, wyprodukowane przez firmę DRAGON. Zaprojektowane dla osób myślących o zawodach, lub jako ochrona służąca podczas codziennego treningu. Napięstniki DRAGON posiadają wkład wykonany z gąbki, który bardzo dobrze amortyzuje i jest jednocześnie bardzo lekki. Zewnętrzna część napiestników została pokryta sztuczną skórą. Napięstniki DRAGON są bardzo wytrzymałe i solidnie wykonane. Rękawice wyposażono w szerokie, elastyczne zapięcie na nadgarstek o szerokości 38mm. Dostępne w rozmiarach S/M/L/XL oraz w kolorach niebieskim oraz czerwonym.</span></p>  <ul>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Profesjonalny wygląd,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Wkład wykonany z gęstej gąbki,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Pokryte wytrzymałą sztuczną skórą,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Solidnie wykonane,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Szerokie zapięcie na nadgarstek (38mm),</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Łatwe w czyszczeniu,</span></li>  <li style=""text-align: justify;""><span style=""font-size: 10pt;"">Dostępne w kolorach: czerwonym i niebieskim.</span></li>  </ul>";0;2;91;1;"brak informacji";"48 godzin";749;5;1;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/713da41dc833829334f5845355bd1a97.jpg;https://sklep27364.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/da1fc04dd9eba1a1f4a39b3d85bae1ad.jpg;;;;;;
